what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1394820302495
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1394820302495
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1394820302495
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1394820302495
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1394820302495
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1394820302495
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1394820302495
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1394820302495
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1394820302495
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1394820302495
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1394820302495
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1394820302495
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1394820302495
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1394820302495
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1394820302495
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1394820302495
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394820302495
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394820302511
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394820302511
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1394820302511
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1394820302511
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1394820302511
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1394820302511
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1394820302511
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1394820302511
os,sysinfo,,,"win32",1394820302511
arch,sysinfo,,,"x86",1394820302511
ws,sysinfo,,,"win32",1394820302511
locale,sysinfo,,,"en_CA",1394820302511
processors,sysinfo,,,"8",1394820302511
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394820302511
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1394820302511
java.specification.name,sysinfo,,,"Java Platform API Specification",1394820302511
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394820302511
java.specification.version,sysinfo,,,"1.6",1394820302511
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1394820302511
java.version,sysinfo,,,"1.6.0_23",1394820302511
java.vm.info,sysinfo,,,"mixed mode",1394820302511
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394820302511
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394820302511
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1394820302511
java.vm.specification.version,sysinfo,,,"1.0",1394820302511
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1394820302511
java.vm.version,sysinfo,,,"19.0-b09",1394820302511
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1394820302667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394820351619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394820478369
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1394820481567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1394820485405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1394820493813
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1394820498649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394820498649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394821145613
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1394821148998
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1394821149030
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394821153663
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1394821163508
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1394821163539
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1394821167892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394821184134
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1394821185476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1394821192403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394821194212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394821344962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394821345945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394821346725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394821349190
